config_name,w1_cost,w2_comfort,w3_cycling,total_cost,avg_discomfort,total_cycles,short_cycling_events,peak_power_kw,cycles_per_hour
Balanced,1.0,2.0,0.5,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
Cost-Focused,3.0,1.0,0.3,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
Comfort-Focused,0.5,3.0,0.3,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
Equipment-Focused,1.0,1.0,2.0,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
No Cycling (w3=0),1.0,2.0,0.0,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
No Comfort (w2=0),2.0,0.0,0.5,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
Only Cost (w2=w3=0),1.0,0.0,0.0,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
w3=0.25,1.0,2.0,0.25,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
w3=0.75,1.0,2.0,0.75,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
w3=1.0,1.0,2.0,1.0,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
