R_thermal,C_thermal,insulation_quality,thermal_mass,total_cost,avg_discomfort,total_cycles,short_cycling_events,peak_power_kw,cycles_per_hour
3.0,5.0,Poor,Light,0.9270883349440251,12.457881,1.0,0.0,3.0,0.125
3.0,10.0,Poor,Medium,0.9270883349440251,14.601829,1.0,0.0,3.0,0.125
3.0,15.0,Poor,Heavy,0.9270883349440251,15.318491,1.0,0.0,3.0,0.125
3.0,20.0,Poor,Very Heavy,0.9270883349440251,15.676839,1.0,0.0,3.0,0.125
5.0,5.0,Average,Light,0.9074672513619414,7.454453,1.0,0.0,3.0,0.125
5.0,10.0,Average,Medium,0.9074672513619414,10.109682,1.0,0.0,3.0,0.125
5.0,15.0,Average,Heavy,0.9074672513619414,10.997617,1.0,0.0,3.0,0.125
5.0,20.0,Average,Very Heavy,0.9074672513619414,11.443727,1.0,0.0,3.0,0.125
7.0,5.0,Good,Light,0.885559955346709,4.475752,1.0,0.0,3.0,0.125
7.0,10.0,Good,Medium,0.885559955346709,7.327979,1.0,0.0,3.0,0.125
7.0,15.0,Good,Heavy,0.885559955346709,8.288728,1.0,0.0,3.0,0.125
7.0,20.0,Good,Very Heavy,0.885559955346709,8.771627,1.0,0.0,3.0,0.125
10.0,5.0,Excellent,Light,0.8560320482139412,1.929561,1.0,0.0,3.0,0.125
10.0,10.0,Excellent,Medium,0.8560320482139412,4.8002486,1.0,0.0,3.0,0.125
10.0,15.0,Excellent,Heavy,0.8560320482139412,5.7942123,1.0,0.0,3.0,0.125
10.0,20.0,Excellent,Very Heavy,0.8560320482139412,6.2968287,1.0,0.0,3.0,0.125
